Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,27.549999,28.08,26.620001,26.82,374100,26.82
2015-05-29,27.65,28.00,26.66,27.52,444300,27.52
2015-05-28,29.00,29.00,27.75,27.83,480900,27.83
2015-05-27,28.719999,29.190001,28.299999,29.00,656400,29.00
2015-05-26,29.280001,30.16,28.360001,29.049999,408700,29.049999
2015-05-22,28.690001,29.18,28.33,28.940001,239400,28.940001
2015-05-21,28.879999,29.34,28.43,28.73,218400,28.73
2015-05-20,29.530001,29.709999,27.60,28.950001,514400,28.950001
2015-05-19,30.469999,30.469999,29.02,29.530001,362100,29.530001
2015-05-18,30.110001,31.09,29.450001,30.370001,482000,30.370001
2015-05-15,30.620001,31.00,29.75,30.26,597800,30.26
2015-05-14,30.59,31.040001,29.610001,30.66,539100,30.66
2015-05-13,30.32,30.51,28.25,30.219999,612800,30.219999
2015-05-12,30.67,30.90,29.620001,30.43,368000,30.43
2015-05-11,30.07,32.700001,29.75,30.51,518700,30.51
2015-05-08,30.209999,30.98,29.540001,29.959999,632900,29.959999
2015-05-07,27.379999,30.110001,26.629999,29.92,638900,29.92
2015-05-06,28.57,28.93,26.43,27.309999,696500,27.309999
2015-05-05,29.950001,30.85,28.25,28.58,943300,28.58
2015-05-04,26.74,30.690001,26.50,30.25,1053100,30.25
2015-05-01,25.50,27.450001,24.370001,26.940001,851800,26.940001
2015-04-30,25.00,25.00,23.440001,24.25,532900,24.25
2015-04-29,25.00,26.639999,24.379999,24.77,797800,24.77
2015-04-28,24.00,25.68,23.52,25.209999,1124900,25.209999
2015-04-27,23.24,24.49,22.83,24.00,652900,24.00
2015-04-24,22.16,24.90,22.040001,23.24,1584500,23.24
2015-04-23,18.23,22.75,18.10,22.48,2366400,22.48
2015-04-22,16.76,18.10,16.610001,18.07,645000,18.07
2015-04-21,17.559999,17.559999,16.620001,16.75,305600,16.75
2015-04-20,17.40,18.440001,17.389999,17.52,365300,17.52
2015-04-17,17.66,17.85,16.92,17.389999,385300,17.389999
2015-04-16,18.67,18.83,17.76,17.799999,412600,17.799999
2015-04-15,18.32,19.15,17.75,18.790001,308600,18.790001
2015-04-14,19.08,19.10,18.08,18.26,487800,18.26
2015-04-13,21.299999,21.370001,18.700001,19.08,924900,19.08
2015-04-10,19.50,20.84,18.299999,20.530001,666300,20.530001
2015-04-09,18.969999,19.50,18.57,18.91,421400,18.91
2015-04-08,19.120001,19.200001,18.02,18.42,593400,18.42
2015-04-07,18.459999,20.139999,18.059999,19.379999,1656200,19.379999
2015-04-06,14.85,16.52,14.65,16.459999,511200,16.459999
2015-04-02,13.14,15.24,13.14,15.00,620000,15.00
2015-04-01,12.82,13.45,12.56,13.26,308800,13.26
2015-03-31,13.15,13.15,12.41,12.87,500600,12.87
2015-03-30,13.49,13.71,12.97,13.11,364300,13.11
2015-03-27,13.94,14.10,13.19,13.37,347800,13.37
2015-03-26,14.20,14.44,13.74,14.03,368100,14.03
2015-03-25,14.30,14.85,14.08,14.27,381700,14.27
2015-03-24,13.72,14.35,13.46,14.31,493700,14.31
2015-03-23,13.17,14.10,13.05,13.94,567500,13.94
2015-03-20,12.50,13.68,12.48,13.33,740200,13.33
2015-03-19,13.60,13.79,12.28,12.48,1261900,12.48
2015-03-18,15.30,15.34,13.60,13.85,1302600,13.85
2015-03-17,16.35,16.49,15.00,15.13,896700,15.13
2015-03-16,17.860001,17.870001,15.50,16.389999,962900,16.389999
2015-03-13,18.040001,18.08,17.42,17.809999,317000,17.809999
2015-03-12,17.68,18.40,17.610001,18.02,277500,18.02
2015-03-11,17.57,17.780001,17.209999,17.58,239300,17.58
2015-03-10,16.98,17.77,16.549999,17.60,385600,17.60
2015-03-09,18.50,18.59,16.67,17.01,600000,17.01
2015-03-06,18.620001,19.15,18.299999,18.540001,250100,18.540001
2015-03-05,18.75,19.209999,17.82,18.76,551600,18.76
2015-03-04,20.129999,20.74,18.549999,18.74,873600,18.74
2015-03-03,19.799999,20.98,19.440001,20.219999,443300,20.219999
2015-03-02,20.030001,20.67,19.83,20.469999,186700,20.469999
2015-02-27,21.780001,21.879999,19.82,20.139999,710900,20.139999
2015-02-26,22.74,23.459999,21.98,22.200001,416200,22.200001
2015-02-25,23.440001,23.73,22.309999,22.690001,570500,22.690001
2015-02-24,23.450001,23.91,22.860001,23.49,483000,23.49
2015-02-23,23.74,24.51,22.00,23.559999,1005400,23.559999
2015-02-20,23.73,24.02,22.75,23.200001,679600,23.200001
2015-02-19,24.00,24.99,23.65,23.809999,417700,23.809999
2015-02-18,23.41,25.68,23.41,24.16,612200,24.16
2015-02-17,22.48,23.50,22.23,23.40,548500,23.40
2015-02-13,22.450001,23.389999,21.90,22.32,419500,22.32
2015-02-12,21.91,23.049999,21.40,22.23,345500,22.23
2015-02-11,21.84,22.16,21.10,21.52,316000,21.52
2015-02-10,22.58,23.280001,21.530001,21.889999,425200,21.889999
2015-02-09,23.379999,24.700001,21.90,22.389999,656200,22.389999
2015-02-06,22.639999,24.23,21.52,23.68,936300,23.68
2015-02-05,21.690001,23.42,21.360001,22.459999,799300,22.459999
2015-02-04,21.719999,22.360001,20.719999,20.75,326200,20.75
2015-02-03,20.48,22.76,20.200001,21.75,677100,21.75
2015-02-02,20.40,21.469999,19.950001,20.190001,326400,20.190001
2015-01-30,19.91,21.969999,18.50,20.280001,1162200,20.280001
2015-01-29,21.18,21.18,19.93,20.559999,539400,20.559999
2015-01-28,21.91,22.030001,20.90,21.08,388700,21.08
2015-01-27,21.90,22.24,21.40,21.91,535500,21.91
2015-01-26,25.27,25.50,21.85,22.15,1425400,22.15
2015-01-23,23.73,25.08,20.33,21.290001,1324200,21.290001
2015-01-22,24.219999,26.74,23.700001,23.860001,780000,23.860001
2015-01-21,21.200001,27.90,20.66,24.709999,2424400,24.709999
2015-01-20,25.00,26.959999,21.08,21.26,2156900,21.26
2015-01-16,18.01,32.880001,17.76,27.66,4966200,27.66
2015-01-15,18.200001,20.25,18.049999,18.370001,1137500,18.370001
2015-01-14,17.02,18.360001,16.00,18.059999,1114900,18.059999
2015-01-13,26.50,26.50,16.00,16.49,3647400,16.49
2015-01-12,28.690001,29.24,26.59,26.940001,347600,26.940001
2015-01-09,31.33,31.51,28.59,28.90,352400,28.90
2015-01-08,30.24,31.629999,30.00,31.41,136900,31.41
2015-01-07,30.610001,31.389999,29.77,30.34,517800,30.34
2015-01-06,32.50,32.889999,29.190001,30.48,402200,30.48
2015-01-05,33.32,35.169998,32.25,32.459999,368500,32.459999
2015-01-02,33.830002,35.25,33.560001,34.169998,285900,34.169998
2014-12-31,34.400002,35.099998,33.580002,33.790001,305100,33.790001
2014-12-30,34.34,34.73,33.509998,34.169998,273700,34.169998
2014-12-29,33.259998,34.439999,32.599998,33.889999,270300,33.889999
2014-12-26,33.93,34.77,32.91,33.400002,445700,33.400002
2014-12-24,29.49,34.369999,29.09,33.810001,707500,33.810001
2014-12-23,31.42,31.959999,28.200001,29.440001,1582600,29.440001
2014-12-22,45.91,45.990002,30.719999,31.49,2667500,31.49
2014-12-19,48.00,48.450001,47.099998,47.540001,495200,47.540001
2014-12-18,49.799999,49.799999,47.32,47.869999,963600,47.869999
2014-12-17,47.580002,51.529999,46.970001,51.360001,258700,51.360001
2014-12-16,48.389999,48.830002,46.330002,47.560001,183700,47.560001
2014-12-15,49.369999,49.84,48.139999,48.66,141800,48.66
2014-12-12,49.049999,50.299999,48.02,49.25,151300,49.25
2014-12-11,49.48,50.84,49.07,49.720001,133400,49.720001
2014-12-10,50.450001,51.150002,48.25,48.990002,292100,48.990002
2014-12-09,48.310001,51.07,48.02,50.93,236100,50.93
2014-12-08,49.990002,51.310001,48.610001,49.060001,209700,49.060001
2014-12-05,49.779999,50.610001,48.330002,50.360001,231100,50.360001
2014-12-04,47.639999,49.93,46.610001,49.50,412300,49.50
2014-12-03,48.459999,49.790001,47.049999,47.639999,282800,47.639999
2014-12-02,48.52,49.490002,47.779999,48.610001,254900,48.610001
2014-12-01,52.139999,52.790001,48.400002,48.52,315400,48.52
2014-11-28,54.099998,54.470001,52.00,52.279999,155100,52.279999
2014-11-26,54.66,54.66,53.689999,54.130001,177300,54.130001
2014-11-25,55.880001,56.470001,54.099998,54.299999,183900,54.299999
2014-11-24,56.389999,57.48,55.369999,55.959999,593000,55.959999
2014-11-21,56.540001,57.490002,55.669998,55.880001,457900,55.880001
2014-11-20,52.48,56.549999,52.48,55.970001,595500,55.970001
2014-11-19,52.299999,53.18,51.619999,53.040001,287000,53.040001
2014-11-18,52.299999,53.099998,50.830002,52.599998,781100,52.599998
2014-11-17,51.07,53.68,49.23,52.32,931200,52.32
2014-11-14,54.450001,54.75,50.860001,51.759998,1096000,51.759998
2014-11-13,60.34,61.529999,54.830002,55.00,1093200,55.00
2014-11-12,59.970001,65.00,55.66,60.50,2599100,60.50
2014-11-11,70.050003,74.57,69.830002,72.779999,611000,72.779999
2014-11-10,69.93,70.910004,67.889999,70.309998,361900,70.309998
2014-11-07,69.809998,71.389999,69.290001,70.050003,260300,70.050003
2014-11-06,71.059998,71.269997,68.779999,70.160004,303200,70.160004
2014-11-05,70.209999,71.839996,69.349998,70.949997,286400,70.949997
2014-11-04,72.099998,73.150002,69.260002,69.849998,294300,69.849998
2014-11-03,74.639999,76.559998,72.050003,72.760002,290300,72.760002
2014-10-31,77.629997,77.709999,72.879997,74.660004,567400,74.660004
2014-10-30,73.00,78.07,72.510002,76.690002,953200,76.690002
2014-10-29,71.190002,77.459999,70.00,72.900002,1057900,72.900002
2014-10-28,71.589996,72.50,69.720001,71.860001,572200,71.860001
2014-10-27,72.610001,73.529999,69.639999,71.589996,816900,71.589996
2014-10-24,71.889999,74.00,70.300003,73.330002,609300,73.330002
2014-10-23,69.599998,73.690002,66.139999,71.739998,924100,71.739998
2014-10-22,77.260002,80.470001,68.410004,69.110001,1409800,69.110001
2014-10-21,95.779999,96.580002,72.809998,84.510002,2350700,84.510002
2014-10-20,93.860001,96.00,93.860001,94.830002,246500,94.830002
2014-10-17,95.190002,96.309998,93.440002,94.050003,237900,94.050003
2014-10-16,92.339996,95.50,90.25,93.739998,355600,93.739998
2014-10-15,92.360001,95.00,90.839996,93.93,364500,93.93
2014-10-14,93.25,94.75,91.150002,93.779999,265800,93.779999
2014-10-13,94.949997,96.32,91.839996,92.18,226800,92.18
2014-10-10,94.459999,96.50,93.209999,95.040001,283500,95.040001
2014-10-09,98.779999,99.639999,94.870003,94.910004,327400,94.910004
2014-10-08,97.589996,99.190002,96.839996,98.739998,342700,98.739998
2014-10-07,100.760002,101.07,97.529999,97.730003,260300,97.730003
2014-10-06,102.25,103.629997,101.32,101.82,220800,101.82
2014-10-03,101.529999,103.830002,101.529999,101.989998,202400,101.989998
2014-10-02,96.709999,100.489998,93.709999,100.400002,290100,100.400002
2014-10-01,101.160004,101.160004,96.120003,96.870003,352400,96.870003
2014-09-30,100.900002,102.239998,100.650002,100.800003,200200,100.800003
2014-09-29,101.360001,102.839996,99.779999,100.980003,235500,100.980003
2014-09-26,101.639999,103.529999,101.080002,102.709999,194800,102.709999
2014-09-25,102.529999,102.650002,99.529999,101.220001,295100,101.220001
2014-09-24,100.790001,104.00,99.699997,102.43,223800,102.43
2014-09-23,101.110001,103.010002,98.769997,100.800003,267100,100.800003
2014-09-22,100.489998,102.349998,100.099998,101.690002,196400,101.690002
2014-09-19,106.82,107.919998,100.849998,101.43,392200,101.43
2014-09-18,103.160004,107.190002,102.690002,106.099998,314800,106.099998
2014-09-17,101.970001,103.650002,101.339996,102.459999,260000,102.459999
2014-09-16,101.769997,103.339996,100.269997,102.269997,216100,102.269997
2014-09-15,102.160004,104.25,100.459999,101.790001,311900,101.790001
2014-09-12,104.00,106.050003,102.199997,102.489998,287700,102.489998
