Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,39.50,39.52,39.18,39.189999,2000,39.189999
2015-05-29,39.169998,39.27,39.16,39.169998,16500,39.169998
2015-05-28,39.080002,39.169998,38.939999,39.16,6000,39.16
2015-05-27,39.080002,39.110001,39.080002,39.099998,5400,39.099998
2015-05-26,39.080002,39.16,39.080002,39.139999,5300,39.139999
2015-05-22,39.66,39.799999,39.650002,39.720001,6500,39.720001
2015-05-21,39.68,39.77,39.68,39.75,5100,39.75
2015-05-20,39.849998,39.93,39.82,39.869999,3500,39.869999
2015-05-19,40.029999,40.029999,39.790001,39.830002,15300,39.830002
2015-05-18,40.34,40.490002,40.32,40.400002,13500,40.400002
2015-05-15,40.099998,40.389999,40.099998,40.360001,5300,40.360001
2015-05-14,40.279999,40.419998,40.240002,40.259998,14800,40.259998
2015-05-13,39.75,40.139999,39.75,40.060001,10500,40.060001
2015-05-12,39.209999,39.34,39.209999,39.310001,8600,39.310001
2015-05-11,39.150002,39.150002,38.91,38.98,1600,38.98
2015-05-08,39.150002,39.169998,39.040001,39.169998,20400,39.169998
2015-05-07,38.950001,39.00,38.950001,38.950001,9800,38.950001
2015-05-06,39.380001,39.380001,39.18,39.279999,11800,39.279999
2015-05-05,39.509998,39.509998,39.310001,39.310001,21800,39.310001
2015-05-04,39.200001,39.290001,39.130001,39.16,5900,39.16
2015-05-01,38.610001,38.740002,38.580002,38.740002,2700,38.740002
2015-04-30,38.779999,39.009998,38.779999,38.990002,5700,38.990002
2015-04-29,39.860001,39.959999,39.610001,39.66,30000,39.66
2015-04-28,39.720001,40.049999,39.720001,39.970001,31000,39.970001
2015-04-27,39.259998,39.759998,39.259998,39.639999,12700,39.639999
2015-04-24,39.18,39.18,38.740002,38.84,6200,38.84
2015-04-23,39.139999,39.48,39.139999,39.360001,25700,39.360001
2015-04-22,39.439999,39.439999,39.09,39.119999,29500,39.119999
2015-04-21,39.400002,39.669998,39.400002,39.610001,9500,39.610001
2015-04-20,39.48,39.490002,39.310001,39.419998,30200,39.419998
2015-04-17,39.630001,39.77,39.630001,39.700001,21200,39.700001
2015-04-16,39.700001,39.73,39.43,39.52,25400,39.52
2015-04-15,39.360001,39.689999,39.349998,39.66,66300,39.66
2015-04-14,39.360001,39.540001,39.310001,39.330002,36400,39.330002
2015-04-13,39.639999,39.639999,39.509998,39.580002,31500,39.580002
2015-04-10,39.82,39.869999,39.720001,39.869999,3000,39.869999
2015-04-09,39.400002,39.439999,39.34,39.400002,46000,39.400002
2015-04-08,39.84,39.84,39.529999,39.700001,22500,39.700001
2015-04-07,40.009998,40.029999,39.869999,39.939999,6200,39.939999
2015-04-06,40.299999,40.380001,40.049999,40.099998,45500,40.099998
2015-04-02,39.669998,39.689999,39.459999,39.630001,23300,39.630001
2015-04-01,39.380001,39.77,39.380001,39.700001,40600,39.700001
2015-03-31,39.189999,39.189999,38.970001,39.049999,21400,39.049999
2015-03-30,39.18,39.27,39.060001,39.099998,130000,39.099998
2015-03-27,38.700001,39.619999,38.700001,39.599998,3400,39.599998
2015-03-26,39.779999,39.779999,39.66,39.700001,12900,39.700001
2015-03-25,39.549999,39.549999,39.439999,39.439999,19400,39.439999
2015-03-24,39.290001,39.380001,39.200001,39.380001,12600,39.380001
2015-03-23,39.060001,39.310001,39.060001,39.279999,16300,39.279999
2015-03-20,38.75,39.200001,38.75,39.029999,27300,39.029999
2015-03-19,38.400002,38.650002,38.400002,38.599998,11500,38.599998
2015-03-18,37.900002,38.639999,37.860001,38.639999,15300,38.639999
2015-03-17,37.77,38.240002,37.73,37.869999,38200,37.869999
2015-03-16,38.169998,38.169998,37.990002,38.099998,24400,38.099998
2015-03-13,38.169998,38.169998,38.00,38.099998,13400,38.099998
2015-03-12,38.16,38.16,37.919998,38.029999,7300,38.029999
2015-03-11,38.07,38.09,37.900002,38.080002,28700,38.080002
2015-03-10,38.549999,38.57,38.240002,38.310001,32900,38.310001
2015-03-09,38.68,38.68,38.490002,38.490002,11300,38.490002
2015-03-06,38.91,38.93,38.459999,38.490002,12600,38.490002
2015-03-05,39.880001,39.919998,39.52,39.57,15800,39.57
