Date,Open,High,Low,Close,Volume,Adj Close
2015-06-01,9.90,9.94,9.80,9.81,401500,9.81
2015-05-29,9.82,9.85,9.81,9.82,214100,9.82
2015-05-28,9.81,9.83,9.76,9.82,267900,9.82
2015-05-27,9.80,9.82,9.79,9.81,220000,9.81
2015-05-26,9.80,9.84,9.80,9.81,348100,9.81
2015-05-22,9.96,9.98,9.94,9.95,187900,9.95
2015-05-21,9.96,9.99,9.95,9.98,211700,9.98
2015-05-20,9.99,10.03,9.98,10.01,260500,10.01
2015-05-19,10.03,10.05,9.96,9.98,306000,9.98
2015-05-18,10.15,10.15,10.10,10.11,605800,10.11
2015-05-15,10.06,10.12,10.06,10.12,409800,10.12
2015-05-14,10.11,10.15,10.08,10.09,494700,10.09
2015-05-13,9.99,10.08,9.97,10.05,270400,10.05
2015-05-12,9.83,9.88,9.82,9.86,225300,9.86
2015-05-11,9.83,9.85,9.76,9.79,154500,9.79
2015-05-08,9.85,9.85,9.80,9.83,357300,9.83
2015-05-07,9.82,9.82,9.77,9.77,247700,9.77
2015-05-06,9.87,9.90,9.83,9.85,322700,9.85
2015-05-05,9.90,9.92,9.85,9.88,601200,9.88
2015-05-04,9.83,9.86,9.81,9.84,229000,9.84
2015-05-01,9.68,9.75,9.66,9.75,749900,9.75
2015-04-30,9.80,9.81,9.73,9.78,607800,9.78
2015-04-29,9.98,10.02,9.93,9.94,481200,9.94
2015-04-28,9.94,10.05,9.94,10.01,580700,10.01
2015-04-27,9.81,9.99,9.79,9.95,757200,9.95
2015-04-24,9.80,9.82,9.71,9.74,624900,9.74
2015-04-23,9.81,9.90,9.78,9.86,959700,9.86
2015-04-22,9.89,9.90,9.80,9.80,248400,9.80
2015-04-21,9.88,9.95,9.87,9.93,201400,9.93
2015-04-20,9.89,9.90,9.85,9.87,340900,9.87
2015-04-17,9.92,9.96,9.92,9.95,237200,9.95
2015-04-16,9.95,9.96,9.87,9.90,321700,9.90
2015-04-15,9.88,9.96,9.86,9.94,191200,9.94
2015-04-14,9.88,9.91,9.84,9.85,254900,9.85
2015-04-13,9.93,9.94,9.88,9.89,341800,9.89
2015-04-10,9.98,9.99,9.94,9.98,314800,9.98
2015-04-09,9.87,9.89,9.85,9.87,342600,9.87
2015-04-08,9.99,10.00,9.89,9.94,533100,9.94
2015-04-07,10.01,10.04,9.98,9.99,350200,9.99
2015-04-06,10.09,10.11,10.02,10.03,285400,10.03
2015-04-02,9.94,9.95,9.87,9.92,232300,9.92
2015-04-01,9.85,10.00,9.85,9.94,354900,9.94
2015-03-31,9.79,9.83,9.74,9.78,296500,9.78
2015-03-30,9.79,9.81,9.77,9.79,611800,9.79
2015-03-27,9.93,9.93,9.87,9.89,342400,9.89
2015-03-26,9.98,10.00,9.94,9.94,427400,9.94
2015-03-25,9.91,9.92,9.88,9.88,162400,9.88
2015-03-24,9.85,9.87,9.82,9.86,335700,9.86
2015-03-23,9.81,9.86,9.80,9.84,349300,9.84
2015-03-20,9.70,9.84,9.70,9.80,574500,9.80
2015-03-19,9.64,9.69,9.61,9.67,432000,9.67
2015-03-18,9.52,9.72,9.49,9.68,738500,9.68
2015-03-17,9.50,9.62,9.49,9.50,630700,9.50
2015-03-16,9.59,9.61,9.53,9.59,501700,9.59
2015-03-13,9.60,9.60,9.53,9.58,605000,9.58
2015-03-12,9.58,9.60,9.52,9.56,266300,9.56
2015-03-11,9.60,9.60,9.50,9.56,661100,9.56
2015-03-10,9.67,9.69,9.60,9.60,330800,9.60
2015-03-09,9.71,9.72,9.66,9.67,431400,9.67
2015-03-06,9.80,9.81,9.66,9.67,890100,9.67
2015-03-05,10.01,10.05,9.96,9.96,349000,9.96
2015-03-04,10.04,10.04,9.98,9.99,248800,9.99
2015-03-03,10.05,10.10,10.00,10.03,423500,10.03
2015-03-02,10.10,10.12,10.03,10.03,442900,10.03
2015-02-27,10.13,10.14,10.08,10.08,401900,10.08
2015-02-26,10.09,10.10,10.04,10.05,265200,10.05
2015-02-25,10.03,10.04,10.00,10.02,265400,10.02
2015-02-24,9.96,10.01,9.91,10.00,361900,10.00
2015-02-23,9.98,10.06,9.97,9.99,249900,9.99
2015-02-20,10.06,10.09,9.97,10.00,410000,10.00
2015-02-19,10.07,10.08,10.03,10.06,558600,10.06
2015-02-18,10.04,10.08,9.95,10.06,672100,10.06
2015-02-17,10.07,10.07,9.99,10.04,1155100,10.04
2015-02-13,10.21,10.25,10.18,10.19,501000,10.19
2015-02-12,10.17,10.18,10.12,10.14,541500,10.14
2015-02-11,10.25,10.25,10.11,10.13,753200,10.13
2015-02-10,10.26,10.29,10.22,10.24,587000,10.24
2015-02-09,10.28,10.32,10.28,10.30,527300,10.30
2015-02-06,10.33,10.35,10.21,10.28,637900,10.28
2015-02-05,10.47,10.55,10.45,10.54,376000,10.54
2015-02-04,10.52,10.56,10.47,10.52,523300,10.52
